"Phi","T","H","min","max","SE","VAR"
"phi4",500,"Static H: 5",0.102464660083111,3.52555603666911,0.474739634587199,0.225377720647987
"phi1",700,"Static H: 5",0.473531374905353,2.01595080572018,0.418126620663812,0.174829870907739
"phi2",700,"Static H: 5",-4.46363219823785,2.11575038112029,1.05936597667412,1.1222562725347
"phi3",700,"Static H: 5",-0.460538389388436,0.132080514442914,0.146088602009187,0.0213418796369986
"phi4",700,"Static H: 5",0.148408056838062,3.07028084109032,0.418488237427871,0.175132404865486
"phi1",900,"Static H: 5",0.488090793105038,1.96265145577917,0.435706867343746,0.189840474250501
"phi2",900,"Static H: 5",-3.79262091498628,2.21810446306196,0.977996253567285,0.956476671991645
"phi3",900,"Static H: 5",-0.443140815333571,0.15016598850724,0.151280783426444,0.0228858754341187
"phi4",900,"Static H: 5",0.24546100260258,2.93171729629178,0.395416021328971,0.156353829923633
"phi1",100,"Static H: 10",-0.0502004054251913,4.65251022638419,0.517566602615384,0.267875188142831
"phi2",100,"Static H: 10",-15.5816605544578,3.51882396871559,2.17571454997003,4.7337338029513
"phi3",100,"Static H: 10",-13471.241393952,7857901.68673303,344631.599455236,118770939343.074
"phi4",100,"Static H: 10",-12988350.7411665,65747.93087818,692985.116082011,480228371111.198
"phi1",300,"Static H: 10",0.358995224445886,2.69109229796834,0.471754527214868,0.222552333947724
"phi2",300,"Static H: 10",-6.83593743312753,2.23022138401894,1.41402007270063,1.99945276600029
"phi3",300,"Static H: 10",-0.732262212948301,2123855.12029749,67162.1986075772,4510760921.80364
"phi4",300,"Static H: 10",-2365385.29263861,3.50061291870655,74800.1063181904,5595055905.21258
"phi1",500,"Static H: 10",0.449295086302488,2.40992630081924,0.471953734095429,0.222740327126619
"phi2",500,"Static H: 10",-4.41562099915849,2.52214274549338,1.18970193232944,1.41539068778841
"phi3",500,"Static H: 10",-0.553911533067415,0.17278103338347,0.166851198194371,0.0278393223388973
"phi4",500,"Static H: 10",0.106956630486815,3.35070857325973,0.460722720108202,0.2122654248239
"phi1",700,"Static H: 10",0.459951396369795,2.09449210348352,0.461307847473677,0.212804930140797
"phi2",700,"Static H: 10",-3.67621678969485,2.14661006174895,1.06495562344178,1.13413047990027
"phi3",700,"Static H: 10",-0.490023344552681,0.121407236052876,0.160326400266632,0.0257045546224564
"phi4",700,"Static H: 10",0.145106370556423,2.96255162276895,0.415380425108843,0.172540897563603
"phi1",900,"Static H: 10",0.469310212730922,2.02915750448592,0.469650247911545,0.220571355363375
"phi2",900,"Static H: 10",-3.92332850337259,2.19708276128317,1.01116701140435,1.0224587249524
"phi3",900,"Static H: 10",-0.46852209732672,0.130762969807968,0.16367025729596,0.0267879531233259
"phi4",900,"Static H: 10",0.233899252148468,2.95585040077608,0.398080813718905,0.158468334251106
"phi1",100,"Static H: 15",-0.46042497995876,10.8059172121109,0.589263363500765,0.347231311564235
