"Phi","T","H","min","max","SE","VAR"
"phi4","100","Dynamic H: acf/ccf"," -7263658.340","    6.688","347070.114","120457663774.744"
"phi4","300","Dynamic H: acf/ccf"," -1031020.936","    3.668"," 32603.801","  1063007822.978"
"phi4","500","Dynamic H: acf/ccf","     -773.553","    3.351","    24.523","         601.382"
"phi4","700","Dynamic H: acf/ccf","        0.145","    3.064","     0.410","           0.168"
"phi4","900","Dynamic H: acf/ccf","        0.235","    2.886","     0.387","           0.149"
"phi4","100","Static H: 5"," -7263658.340","    6.460","344410.462","118618566404.610"
"phi4","300","Static H: 5","-12144885.995","    3.497","421879.614","177982408661.062"
"phi4","500","Static H: 5","        0.102","    3.526","     0.475","           0.225"
"phi4","700","Static H: 5","        0.148","    3.070","     0.418","           0.175"
"phi4","900","Static H: 5","        0.245","    2.932","     0.395","           0.156"
"phi4","100","Static H: 10","-12988350.741","65747.931","692985.116","480228371111.198"
"phi4","300","Static H: 10"," -2365385.293","    3.501"," 74800.106","  5595055905.213"
"phi4","500","Static H: 10","        0.107","    3.351","     0.461","           0.212"
"phi4","700","Static H: 10","        0.145","    2.963","     0.415","           0.173"
"phi4","900","Static H: 10","        0.234","    2.956","     0.398","           0.158"
"phi4","100","Static H: 15"," -6979810.093","   24.716","310078.127"," 96148444864.813"
"phi4","300","Static H: 15","        0.198","    4.001","     0.559","           0.313"
"phi4","500","Static H: 15","        0.191","    3.343","     0.475","           0.225"
"phi4","700","Static H: 15","        0.142","    2.881","     0.421","           0.177"
"phi4","900","Static H: 15","        0.242","    2.976","     0.401","           0.161"
"phi4","100","Static H: 20","-20208646.946","    6.151","731181.827","534626864385.650"
"phi4","300","Static H: 20"," -2523110.850","    3.353"," 79787.826","  6366097205.403"
"phi4","500","Static H: 20","        0.130","    3.574","     0.491","           0.241"
"phi4","700","Static H: 20","        0.197","    2.882","     0.410","           0.168"
"phi4","900","Static H: 20","        0.296","    2.949","     0.369","           0.136"
